valid_json,schema_score,topology_score,domain_accuracy,numerical_accuracy,categorical_accuracy,math_accuracy,semantic_score,chart_id,chart_type,complexity
True,1.0,1.0,0.5,0.7142857142857143,1.0,,1.0,71338,Bar Chart,Low
True,1.0,1.0,1.0,0.22394248679704,,,0.0,155924,Histogram,Medium
True,1.0,1.0,1.0,,,,0.0,135294,Area Chart,Low
True,1.0,1.0,0.75,0.8728625914913997,,,,125096,Scatter Plot,Medium
True,1.0,0.0,0.0,0.6238670615933775,1.0,,0.09625,50098,Bar Chart,Low
True,1.0,1.0,0.75,0.31994047619047616,,,,110676,Scatter Plot,Low
True,1.0,1.0,0.5,0.9311740890688259,1.0,,0.17,141212,Box Plot,Medium
True,1.0,1.0,,0.9985417987434506,,,,66036,Pie Chart,Low
True,0.8333333333333334,0.0,0.75,0.17566549905069997,,0.0,0.0,162447,Line Chart,Medium
True,1.0,1.0,0.5,0.9797380952380952,1.0,,0.646875,80550,Line Chart,High
True,1.0,1.0,1.0,0.29599670428112673,,,0.0,157493,Histogram,Medium
True,1.0,1.0,0.5,0.5004008999793859,0.625,,0.5033333333333333,136610,Box Plot,Medium
True,1.0,1.0,1.0,0.7966393489763056,1.0,,0.33999999999999997,123859,Area Chart,High
True,1.0,1.0,0.8571428571428571,,,,,126396,Scatter Plot,High
True,1.0,1.0,0.5,1.0,,,0.932,55930,Line Chart,Low
True,1.0,1.0,1.0,1.0,1.0,,1.0,79598,Line Chart,Low
True,1.0,0.0,1.0,,,,0.02,151955,Bar Chart,High
True,1.0,0.0,0.5,0.9098011224762781,,,0.9492307692307692,55502,Line Chart,High
True,1.0,1.0,0.8,0.7486483303486077,1.0,,0.4953846153846154,58535,Line Chart,High
True,1.0,1.0,1.0,,,,,64813,Scatter Plot,Low
True,1.0,0.0,0.5,0.692227332852333,1.0,,0.34307692307692306,139763,Area Chart,High
True,1.0,1.0,1.0,0.9481481481481482,1.0,,0.9152631578947369,145984,Bar Chart,High
True,1.0,1.0,0.8888888888888888,,,,0.047,123836,Area Chart,Medium
True,1.0,1.0,1.0,0.8498284165548974,,,0.0,162844,Histogram,Medium
True,1.0,1.0,1.0,0.936247869050318,,,,141003,Scatter Plot,Medium
True,1.0,1.0,0.875,,,,0.028999999999999998,67402,Area Chart,Medium
True,1.0,1.0,0.6,0.0,0.6666666666666666,,0.034,145169,Bar Chart,Medium
True,1.0,1.0,0.5,0.98125,1.0,,,115486,Scatter Plot,High
True,1.0,1.0,1.0,,,,0.020625,124226,Area Chart,Low
True,1.0,1.0,1.0,0.13001694677871148,0.4,,,49383,Scatter Plot,High
True,1.0,1.0,1.0,0.6975980005404028,1.0,,0.395,90177,Line Chart,High
True,1.0,1.0,,0.9984867321574917,,,,76038,Pie Chart,Low
