valid_json,schema_score,topology_score,domain_accuracy,numerical_accuracy,categorical_accuracy,math_accuracy,semantic_score,chart_id,chart_type,complexity
True,1.0,1.0,0.75,0.9877717391304348,,,,102123,Scatter Plot,Medium
True,1.0,1.0,1.0,1.0,1.0,,1.0,71338,Bar Chart,Low
False,0.0,0.0,,,,,,155924,Histogram,Medium
True,1.0,1.0,1.0,0.990909090909091,1.0,,0.6666666666666666,135294,Area Chart,Low
True,1.0,1.0,0.75,0.8645674165641936,,,,125096,Scatter Plot,Medium
True,1.0,1.0,1.0,0.9815465135465136,1.0,,0.99375,50098,Bar Chart,Low
True,1.0,1.0,0.75,0.44196428571428575,,,,110676,Scatter Plot,Low
True,1.0,1.0,1.0,0.8571428571428571,1.0,,1.0,141212,Box Plot,Medium
True,1.0,1.0,,0.9985417987434506,,,,66036,Pie Chart,Low
True,0.8333333333333334,1.0,0.75,0.27803771893707324,,0.0,0.3333333333333333,162447,Scatter Plot,Medium
True,1.0,1.0,0.8571428571428571,0.9805714285714285,1.0,,0.875,80550,Line Chart,High
False,0.0,0.0,,,,,,157493,Histogram,Medium
True,1.0,1.0,0.8571428571428571,0.6874251407715584,1.0,,0.31666666666666665,136610,Box Plot,Medium
True,1.0,1.0,1.0,0.5071155154913736,1.0,,0.686875,123859,Area Chart,High
True,1.0,0.0,0.8571428571428571,0.44898008057545014,1.0,,,126396,Scatter Plot,High
True,1.0,1.0,0.5,0.9957010582010583,,,1.0,55930,Line Chart,Low
True,1.0,1.0,0.8571428571428571,1.0,1.0,,1.0,79598,Line Chart,Low
True,1.0,1.0,1.0,1.0,1.0,,0.9989473684210527,151955,Bar Chart,High
True,1.0,1.0,0.75,0.9970212755174441,,,1.0,55502,Line Chart,High
True,1.0,1.0,0.8,0.8207509100059605,1.0,,0.4592307692307692,58535,Line Chart,High
True,1.0,1.0,0.75,,,,,64813,Scatter Plot,Low
True,0.8333333333333334,0.0,0.875,0.814012469012469,1.0,,0.0,139763,Area Chart,High
True,1.0,1.0,1.0,1.0,1.0,,1.0,145984,Bar Chart,High
True,1.0,1.0,1.0,0.3615673094810161,1.0,,0.592,123836,Area Chart,Medium
False,0.0,0.0,,,,,,162844,Histogram,Medium
True,1.0,1.0,1.0,0.936247869050318,,,,141003,Scatter Plot,Medium
True,1.0,1.0,1.0,1.0,1.0,,1.0,67402,Area Chart,Medium
True,1.0,1.0,1.0,0.15384615384615385,1.0,,0.081,145169,Bar Chart,Medium
True,1.0,1.0,0.8333333333333334,0.9916666666666667,1.0,,,115486,Scatter Plot,High
True,1.0,1.0,1.0,0.9533465552178318,1.0,,0.6856249999999999,124226,Area Chart,Low
