valid_json,schema_score,topology_score,domain_accuracy,numerical_accuracy,categorical_accuracy,math_accuracy,semantic_score,chart_id,chart_type,complexity
True,1.0,1.0,0.0,0.4939770778309895,,,0.032857142857142856,70921,Area Chart,Unknown
True,1.0,1.0,0.8,0.9261243386243386,1.0,,,56979,Scatter Plot,Unknown
True,1.0,0.0,0.75,1.0,,,0.8885714285714286,58747,Line Chart,Unknown
True,1.0,1.0,0.5,0.9541914682539683,,,,102123,Scatter Plot,Unknown
True,1.0,1.0,1.0,,,,0.0,71338,Bar Chart,Unknown
True,1.0,1.0,0.25,0.35134404610026554,,,0.0,155924,Histogram,Unknown
True,1.0,1.0,0.8,0.5,1.0,,0.3333333333333333,135294,Area Chart,Unknown
True,1.0,1.0,0.25,0.7174134289259945,,,,125096,Scatter Plot,Unknown
True,1.0,0.0,,,,,0.01375,50098,Bar Chart,Unknown
True,1.0,1.0,0.75,0.44196428571428575,,,,110676,Scatter Plot,Unknown
True,1.0,1.0,0.5,,,,0.12666666666666668,141212,Box Plot,Unknown
True,1.0,1.0,,0.0,,,,66036,Pie Chart,Unknown
True,0.8333333333333334,0.0,0.0,0.397464507936508,,0.0,1.0,162447,Line Chart,Unknown
True,1.0,0.0,0.8571428571428571,0.971568253968254,1.0,,0.636875,80550,Line Chart,Unknown
True,1.0,1.0,0.75,0.0939754193179616,,,0.0,157493,Histogram,Unknown
True,1.0,1.0,,,,,0.11666666666666665,136610,Box Plot,Unknown
True,1.0,1.0,0.5,0.7706658373334239,1.0,,0.076875,123859,Area Chart,Unknown
True,1.0,0.0,0.8571428571428571,0.7090047260647729,1.0,,,126396,Scatter Plot,Unknown
True,1.0,1.0,0.25,0.9846560846560847,,,0.833,55930,Line Chart,Unknown
True,1.0,1.0,0.8571428571428571,1.0,1.0,,0.6666666666666666,79598,Line Chart,Unknown
True,0.8333333333333334,0.0,1.0,0.9259259259259259,1.0,,0.5263157894736842,151955,Bar Chart,Unknown
True,1.0,0.0,0.5,0.7459759529578608,,,0.556923076923077,55502,Line Chart,Unknown
True,1.0,1.0,0.8,0.44062380338044516,1.0,,0.16692307692307692,58535,Line Chart,Unknown
True,1.0,1.0,0.75,,,,,64813,Scatter Plot,Unknown
True,0.8333333333333334,0.0,0.875,0.7507962338157772,1.0,,0.3076923076923077,139763,Area Chart,Unknown
True,1.0,1.0,0.8,0.9148148148148149,1.0,,0.4842105263157894,145984,Bar Chart,Unknown
True,1.0,1.0,0.8888888888888888,0.38778318023126757,1.0,,0.321,123836,Area Chart,Unknown
True,1.0,1.0,0.25,0.047014461076436476,,,0.0,162844,Histogram,Unknown
True,1.0,1.0,0.75,0.936247869050318,,,,141003,Scatter Plot,Unknown
True,1.0,1.0,0.75,0.48964204594071115,1.0,,0.329,67402,Area Chart,Unknown
True,1.0,1.0,0.8,0.23076923076923078,1.0,,0.624,145169,Bar Chart,Unknown
True,1.0,0.0,0.8333333333333334,0.9682291666666667,1.0,,,115486,Scatter Plot,Unknown
True,1.0,1.0,,0.6849073961499494,1.0,,0.265625,124226,Area Chart,Unknown
True,1.0,1.0,,0.2513882783882784,1.0,,,49383,Scatter Plot,Unknown
True,1.0,1.0,0.8333333333333334,0.606356972789251,1.0,,0.389375,90177,Line Chart,Unknown
True,1.0,1.0,,0.0,,,,76038,Pie Chart,Unknown
True,1.0,1.0,0.8571428571428571,0.5283441347455908,0.8125,,,132200,Scatter Plot,Unknown
True,1.0,1.0,1.0,1.0,1.0,,0.9014285714285714,152654,Bar Chart,Unknown
True,1.0,0.0,0.8571428571428571,0.5959614187555364,1.0,,0.5072727272727273,113138,Line Chart,Unknown
True,0.8,1.0,,,,,0.0,128251,Area Chart,Unknown
True,1.0,1.0,0.8333333333333334,,,,0.0,127034,Area Chart,Unknown
True,1.0,1.0,0.8333333333333334,,,,0.0,111934,Line Chart,Unknown
True,1.0,0.0,0.8571428571428571,0.9819444444444444,1.0,,0.012307692307692308,140315,Line Chart,Unknown
True,1.0,0.0,0.8333333333333334,1.0,1.0,,0.922,58512,Line Chart,Unknown
True,1.0,1.0,,,,,0.10333333333333333,118520,Box Plot,Unknown
True,1.0,1.0,,0.8402081748660696,1.0,,,81797,Scatter Plot,Unknown
True,1.0,0.0,0.75,0.8888888888888888,,,0.4685714285714286,148630,Bar Chart,Unknown
True,1.0,1.0,0.25,0.2113922783633826,,,0.2625,120441,Area Chart,Unknown
True,1.0,0.0,0.8333333333333334,0.75,1.0,,0.7107692307692308,80685,Line Chart,Unknown
True,1.0,1.0,1.0,1.0,1.0,,,79407,Scatter Plot,Unknown
True,1.0,1.0,,1.0,1.0,,,109527,Scatter Plot,Unknown
True,1.0,1.0,,0.0,,,,109787,Pie Chart,Unknown
True,0.8333333333333334,1.0,0.25,,,0.0,,155920,Line Chart,Unknown
True,1.0,1.0,,0.0,,,,91112,Pie Chart,Unknown
True,0.8,1.0,0.25,,,,0.0,133722,Histogram,Unknown
True,1.0,1.0,0.8333333333333334,1.0,,,0.9446153846153845,158161,Bar Chart,Unknown
True,1.0,1.0,1.0,0.750021772845005,1.0,,0.6538461538461539,154677,Bar Chart,Unknown
True,1.0,0.0,0.75,0.8888888888888888,,,0.47000000000000003,150499,Bar Chart,Unknown
True,1.0,1.0,0.25,0.6895681799402051,,,0.8042105263157895,150161,Line Chart,Unknown
True,1.0,1.0,0.6,,,,0.0,101918,Box Plot,Unknown
True,1.0,1.0,0.8571428571428571,0.9130027661240848,0.896551724137931,,,115546,Scatter Plot,Unknown
True,1.0,0.0,,0.9376470588235294,1.0,,0.5137499999999999,97105,Bar Chart,Unknown
True,1.0,1.0,0.8333333333333334,0.494944150499706,1.0,,,60084,Scatter Plot,Unknown
True,1.0,0.0,0.8888888888888888,0.49848653043823976,1.0,,0.4878947368421052,67468,Line Chart,Unknown
True,1.0,0.0,,0.5625,1.0,,0.47692307692307695,59876,Line Chart,Unknown
True,1.0,0.0,0.7142857142857143,,,,0.22,136040,Bar Chart,Unknown
True,1.0,1.0,,0.9962946343779677,1.0,,,127347,Scatter Plot,Unknown
True,1.0,1.0,0.8571428571428571,0.375,1.0,,0.316,120443,Area Chart,Unknown
True,1.0,1.0,0.8333333333333334,0.28592542320465364,1.0,,0.335,54322,Area Chart,Unknown
True,1.0,1.0,,0.0,,,,66888,Pie Chart,Unknown
True,1.0,1.0,,0.75,1.0,,,62958,Scatter Plot,Unknown
True,1.0,1.0,0.8333333333333334,,,,0.11666666666666665,76480,Box Plot,Unknown
True,1.0,1.0,0.5,0.5686386913470246,,,,125107,Scatter Plot,Unknown
True,1.0,0.0,0.25,0.5,,,0.9525,162220,Line Chart,Unknown
True,1.0,0.0,,0.8559722222222222,1.0,,,132029,Scatter Plot,Unknown
True,1.0,1.0,0.75,0.925673631923632,1.0,,0.4714285714285714,67221,Line Chart,Unknown
True,1.0,1.0,0.25,0.05957101092319425,,,0.0,145121,Histogram,Unknown
